Method,Rank,Parameter,Precision_Score,Files_±2%,Files_±5%,Files_±10%,Files_>20%,Gain_Avg_%,Loss_Avg_%,Gain_Median_%,Loss_Median_%,Best_Gain_%,Worst_Gain_%,Best_Loss_%,Worst_Loss_%,Total_Files
TwoPass-3m+5.7m,79,5.7,1928.85,23,78,133,17,98,95.86,97.51,95.16,99.97,0.47,99.94,261.15,188
TwoPass-3m+5.0m,80,5,1928.74,23,77,133,16,98,95.74,97.51,95.12,99.97,0.47,100.06,259.38,188
TwoPass-3m+6.0m,81,6,1928.7,23,77,133,16,98,95.71,97.51,94.96,99.97,0.47,99.94,261.47,188
TwoPass-3m+1.5m,82,1.5,1905.53,21,82,131,18,98,107.47,97.51,102.86,99.97,0.47,99.99,289.07,188
DistBased-4.3m,83,4.3,1895.68,25,74,127,17,94.33,96.36,95.29,95.46,99.91,0.42,100.01,262.59,188
DistBased-4.4m,84,4.4,1890.54,25,74,124,16,94.25,96.29,95.21,95.49,100.01,0.34,100.02,263.46,188
DistBased-4.1m,85,4.1,1886.22,25,71,129,16,94.6,96.61,95.34,95.7,99.9,0.34,100.06,261.57,188
SavGol-W5P2,86,5,1874.91,28,80,127,31,104.02,106.07,102.02,102.26,100,204.01,100.16,288.01,188
DistBased-4.6m,87,4.6,1865.12,25,71,127,17,94.05,96.07,95.06,95.37,99.81,0.38,99.89,261.88,188
TwoPass-3m+1.4m,88,1.4,1850.29,19,82,130,19,98,107.71,97.51,102.96,99.97,0.47,100.04,286.62,188
SavGol-W11P2,89,11,1848.15,31,68,118,23,93.03,95.12,95.14,95.48,99.94,0.42,99.87,263.12,188
DistBased-4.8m,90,4.8,1834.62,25,70,125,18,93.8,95.81,94.71,95.13,100.05,0.34,99.88,260.63,188
DistBased-4.2m,91,4.2,1826,22,74,125,17,94.49,96.51,95.28,95.59,100.03,0.42,100.01,262.19,188
DistBased-4.7m,92,4.7,1814.86,24,70,125,18,93.92,95.95,94.82,95.05,100.13,0.34,99.91,261.22,188
DistBased-5.6m,93,5.6,1809.99,24,70,126,19,93.99,96,95,95.36,99.82,0.38,100.01,257,188
DistBased-5.9m,94,5.9,1809.66,23,70,124,16,93.82,95.84,94.82,95.13,99.91,0.35,99.9,259.08,188
TwoPass-3m+1.3m,95,1.3,1799.94,18,79,130,19,98,108.06,97.51,103.21,99.97,0.47,100,290.29,188
DistBased-4.5m,96,4.5,1795.25,23,69,127,18,94.11,96.14,95.06,95.26,99.99,0.38,100.01,260.95,188
DistBased-5.7m,97,5.7,1794.7,24,70,123,19,93.85,95.86,94.88,95.16,100.02,0.34,99.94,261.15,188
DistBased-5.4m,98,5.4,1794.52,23,71,123,18,93.75,95.77,94.83,95.14,100.03,0.38,99.93,261.92,188
DistBased-5.2m,99,5.2,1789.65,23,69,124,17,93.81,95.84,94.9,95.27,100.02,0.42,100.24,266.32,188
DistBased-5.5m,100,5.5,1789.46,24,68,124,18,93.72,95.74,94.83,94.99,100.1,0.39,100.1,257.68,188
DistBased-4.9m,101,4.9,1774.59,22,71,123,18,93.77,95.82,94.82,95.12,99.88,0.42,100,259.14,188
DistBased-6.0m,102,6,1774.4,24,68,121,18,93.7,95.71,94.76,94.96,99.92,0.42,99.94,261.47,188
DistBased-5.3m,103,5.3,1764.26,24,66,123,18,93.62,95.64,94.63,94.83,100,0.38,99.97,259.73,188
DistBased-5.0m,104,5,1754.46,22,68,125,18,93.71,95.74,94.8,95.12,100.03,0.38,100.06,259.38,188
DistBased-5.8m,105,5.8,1754.3,23,68,121,18,93.65,95.65,94.72,94.98,100.03,0.34,99.92,259.63,188
