filename,total_points,total_distance_km,raw_elevation_gain_m,raw_elevation_loss_m,raw_gain_loss_ratio,gain_10m,loss_10m,ratio_10m,gain_25m,loss_25m,ratio_25m,gain_50m,loss_50m,ratio_50m,official_elevation_gain_m,accuracy_raw,accuracy_10m,accuracy_25m,accuracy_50m,noise_level,gradient_issues,data_quality_score
v9_2024_UTK_by_UTMB_Miler_RACE_ALIGNMENT_WEB_c82fc5e149.gpx,11312,161.033878123803,7660.19000000002,7198.13000000001,1.0641916720037,6428.43017311628,5962.40298132357,1.07816096853106,5379,4912,1.09501594713308,4757.28237243786,4286.18243814982,1.10991131177594,5000,153.2038,128.568603462326,108,95.1456474487572,Medium,319,60
MUT_LITE_2025.gpx,583,11.8229282929711,338,357,0.946778711484594,313.711049614154,332.315478295981,0.944015762439881,279,297,0.940545288057738,243.641467815862,261.317245090952,0.932358933032002,260,130,120.658096005444,107,93.7082568522546,Medium,5,85
v8_2024_UTK_by_UTMB_100km_RACE_ALIGNMENT_WEB_7df486a34b.gpx,7648,106.474283986735,4576,4930.71999999999,0.928059188110461,3859.11947652068,4212.53584533086,0.916103653052138,3254,3604,0.902860907477385,2887.29933991208,3234.98483727338,0.892523299226852,3030,151.023102310231,127.363679093092,107,95.2904072578243,Medium,183,60
Pilolcura.gpx,12969,97.8127232802304,4970,4966,1.00080547724527,4374.57571869212,4369.36087108253,1.00119350352682,3733,3727,1.00143128692812,3272.56092490633,3268.17084731506,1.00134328277081,3500,142,124.987877676918,107,93.5017407116093,Medium,718,60
Trail_10_K_2024_1_66d8b7cf23.gpx,9264,10.7280697143309,609.199999999997,609.799999999997,0.999016070842899,548.20644132683,548.444846527704,0.999565306881112,529,529,0.998622394686916,505.71342671899,506.948931143761,0.997562862156582,500,121.839999999999,109.641288265366,106,101.142685343798,Low,1048,70
MUT_25_KM_2025.gpx,4251,25.5806521036735,1343,1361,0.98677443056576,1063.18330356751,1081.23434185205,0.983305156351567,888,906,0.98055973730008,731.900585438337,748.84626245715,0.977370953333986,850,158,125.080388655002,105,86.1059512280396,Medium,405,60
UTMB_24_25k_completo_agrofloresta_1_700f24c800.gpx,10028,26.7630526661851,948.000084114087,949.400084304813,0.998525384383391,852.679714239265,854.166234500072,0.998259682716589,783,785,0.997962313292587,708.35807664612,710.078196827003,0.99757756231839,750,126.400011215212,113.690628565235,104,94.4477435528159,Low,387,70
ISTRIA_21.gpx,804,21.5119290126459,220.499951,495.599933000001,0.444915215515172,194.955001693211,470.128116781304,0.414684837460808,164,440,0.371975792253315,126.696471661851,403.550462435537,0.313954470271706,157,140.445828662421,124.175160314147,104,80.6983895935356,Medium,0,75
fun_7_1_7baac1030b.gpx,215,6.93267104814196,90,90,1,66.400422172771,66.4453375904529,0.999324024539409,52,52,0.997515373782716,40.0729815187949,40.543536749068,0.988393828757824,50,180,132.800844345542,104,80.1459630375898,Medium,0,90
WSERUpdatedAug2024.gpx,8067,160.601332621363,6208.27899999999,7713.50399999998,0.804858466398671,5488.54188360158,6993.9370615838,0.784757116810353,5099,6605,0.771973534369371,4767.72115462697,6276.0932255124,0.759663851908083,4960,125.166915322581,110.656086362935,103,96.1234103755438,Medium,226,60
